ID;Atasözü/Deyim;Anlamı;Zorluk;Kategori;Örnek;Yanlış Cevap 1;Yanlış Cevap 2;Yanlış Cevap 3
116;Balta değmedik ağaç olmaz;Zarar görmeyen, başına felaket gelmeyen kimse yoktur.;1;genel;;Kişi arkadaşından bellidir;İpliği pazara çıkmak;Abayı sermek
117;"Baskıdaki altından askıdaki
salkım yeğdir";Kullanılan, işe yarayan değersiz şey, saklanan ve kullanılmayan çok değerli şeyden daha iyidir.;1;genel;;İş insanın aynasıdır;"Zurnada peşrev olmaz, ne
çıkarsa bahtına";Pılı pırtıyı toplamak
118;Başa gelmeyince bilinmez;Başına bir felaket gelmeyen, başkasına gelen felaketin ne denli acı olduğunu gereği gibi anlayamaz.;1;genel;;Kabak başına patlamak;Lügat paralamak;Tepeden tırnağa süzmek
119;Bedava sirke baldan tatlıdır;Masrafsız ve emeksiz elde edilen şeyler insana hoş gelir.;1;genel;;Ne oldum delisi olmak;İçine atmak;"Can çıkmayınca huy
çıkmaz"
120;"Benim oğlum bina okur,
döner döner yine okur";Çok çalışmasına karşın belli bir düzeyden öteye gidemiyor.;1;genel;;"Bir dediği bir dediğini
tutmamak";"Kaçanı kovmazlar, yıkılanı
vurmazlar";İp koptuğu yerden bağlanır
121;"Beş parmağın hangisini
kessen acımaz?
İnsan evlatlarını birbirinden ayırt
etmez, hangisine zarar gelse aynı
üzüntüyü duyar.
 
  17
122-Bezi herkesin arşınına
göre vermezler";Genel kurallar kişilerin isteklerine göre bozulmaz.;1;genel;;"Yağmurdan kaçarken doluya
tutulmak";"Çanağa ne doğrarsan
kaşığında o çıkar";Halep oradaysa arşın burada
123;Bıçak kınını kesmez;Kötüler yararlandıkları kimselere kötülük etmekten çekinirler.;1;genel;;Zeytinyağı gibi üste çıkmak;"Hangi dağda kurt öldü?
Nasıl oldu da böyle umulmadık
güzel bir davranışta bulundun?
105-Hâli kalmamak";Jetonu geç düşmek
124;"Bilmemek ayıp değil,
öğrenmemek ayıp";İnsanın her şeyi bilmemesi kusur değildir ama bilmediği bir işi sorup öğrenmeden yapmaya kalkışması kusurdur.;1;genel;;Teşbihte hata olmaz;"Nefesine güvenen
borazancıbaşı olur";"Cehenneme atsalar odun yaş
diye bağırır"
125;"Bin bilsen de bir bilene
danış";Bir insan bir şeyi ne kadar iyi bilirse bilsin, gene de onu kendisinden daha iyi bilen bulunabilir.;1;genel;;"Lokma çiğnemeden
yutulmaz";"Al malın iyisini, çekme
kaygısını";Tabanları yağlamak
126;"Bin nasihatten bir musibet
yeğdir";Yaşanan olaylar, öğütlerden çok daha etkilidir.;1;genel;;"Doğrunun yardımcısı
Allah'tır";Dört duvar arasından kalmak;Zülfü yare dokunmak
127;Bin tasa bir borç ödemez;Borçlu ne denli üzülürse üzülsün borç sıkıntısından kurtulamaz.;1;genel;;Can boğazdan gelir;Tepeden tırnağa süzmek;"Suratından düşen bin parça
olmak"
128;"Bir adama kırk gün ne dersen
o olur";Sürekli telkinlerle bir kişinin bilinç altına birtakım inançlar, duygular yerleştirilebilir.;1;genel;;"Dışı eli yakar, içi beni
yakar";Hamama giren terler;Treni kaçırmak
129;Bir çöplükte iki horoz ötmez;Bir yerde iki kişi baş olmaz.;1;genel;;Yanına kâr kalmak;Gemi azıya almak;Kanadı altına almak
130;"Bir baş soğan bir kazanı
kokutur";Kötü bir kişi,kötü bir davranış ya da kötü bir söz büyük bir topluluğun havasını bozar.     18;1;genel;;"Cehenneme atsalar odun yaş
diye bağırır";Para saçmak;Tadına doyum olmamak
131;"Bir elin nesi var, iki elin sesi
var";Başarıya ulaşmak için birlik olmak gerek.;1;genel;;"Yüzüp yüzüp kuyruğuna
gelmek";Nabzını tutmak;Kabir azabı çekmek
132;"Bir fincan kahvenin kırk yıl
hatırı vardır";İyilik küçük de olsa unutulmaz.;1;genel;;"Kızım sana söylüyorum,
gelinim sen anla";"Davetsiz gelen döşeksiz
oturur";"İyi olacak hastanın hekim
ayağına gelir"
133;"Bir kızı bin kişi ister, bir kişi
alır";Bir şeyi herkes ister ancak onu bir kişi elde edebilir.;1;genel;;"Aksak eşekle yüksek dağa
çıkılmaz";İçi yanmak;Yıldızları barışmamak
134;"Bir koltuğa iki karpuz
sığmaz";Aynı zamanda birden çok işle ilgilenmek başarı için sakıncalıdır.;1;genel;;"Buğdayım var deme ambara
girmeyince, oğlum var deme
yoksulluğa ermeyince";Dal gibi kalmak;Elden düşürmemek
135;"Bir mıh(çivi) bir nal
kurtarır,bir nal bir at kurtarır";Küçük gibi görünen işler,büyük sonuçlar doğurabilir.Örneğin küçük bir vidası eksik olan koca bir fabrika çalışamaz.;1;genel;;Kişi refikinden azar;Sevinci kursağında kalmak;"Kes parmağını çık pazara,
merhem buyuran çok olur"
136;"Biri bilmeyen bini hiç
bilmez";Küçük de olsa bir iyiliğin değerini bilmeyen, daha büyük iyiliklere layık değildir.;1;genel;;Asıl azmaz, bal kokmaz;"Ağustosun yarısı yaz, yarısı
kıştır";Pabucu dama atılmak
137;"Bir söz yola getirir,bir söz
yoldan çıkarır";Doğru yola götüren inandırıcı sözler de yanlış yola sürükleyen etkili sözler de vardır.;1;genel;;Zokayı yutmak;"Gönül bir sırça saraydır,
kırılırsa yapılmaz";Treni kaçırmak
138;"Biz kırk kişiyiz, birbirimizi
biliriz";Birbirimizi çok yakından tanırız, onun öyle bir üstün durumu olmadığını biliriz.;1;genel;;İçini okumak;"At, adımına göre değil
adamına göre yürür";"İnsan sözünden, hayvan
yularından tutulur"
139;Boğaz dokuz boğumdur;Bir söz iyice düşünmeden söylenmemelidir.     19;1;genel;;Çamura bulaşmak;"Kısmetsiz köpek, sabaha
karşı uyuyakalır";Foyası meydana çıkmak
140;"Borcun iyisi vermek,
derdin iyisi ölmek";"Borçlu ve dertli bir biçimde yaşanılmaz; borçtan kurtulmanın yolu onu vermek, onulmaz dertten kurtulmanın çıkar yolu ise ölmektir.";1;genel;;"Mal canı kazanmaz, can
malı kazanır";"Eşeğini sağlam kazığa
bağlamak";"Elin ağzı torba değil ki
büzesin"
141;"Borç ödemekle, yol
yürümekle tükenir";Birden ödenemeyen bir borç azar azar verilerek ödenebilir.;1;genel;;İçini ısıtmak;Dikensiz gül olmaz;"Dağ başından duman eksik
olmaz"
142;Borç yiğidin kamçısıdır;Borç, kişiyi daha çok çalışmaya zorlar.;1;genel;;"Lokma karın doyurmaz,
şefaat artırır";Tepeden bakmak;"Ayağının bastığı yerde ot
bitmez"
143;"Borçlu ölmez, benzi
sararır";Borç kişiyi öldürmez ancak hasta edecek kadar üzer.;1;genel;;Mantar gibi yerden bitmek;Dün öleni dün gömerler;"İğne deliğinden Hindistan’ı
seyretmek"
144;"Bostana dadanan eşeğin
kuyruğu, kulağı olmaz";Çalıp çırpmayı huy edinen kişi ,yakayı ele vererek ceza alır ve insanlıktan çıkar.;1;genel;;"Sinek küçüktür ama mide
bulandırır";Hevesi kalmamak;"Arlı arından, huylu huyundan
vazgeçmez"
145;"Boş gezmekten bedava
çalışmak yeğdir";Çalışmak insanı tembellikten kurtarır.;1;genel;;Nabzına göre şerbet vermek;Tuttuğunu koparmak;"Kırk yıllık Kâni, olur mu
Yani"
146;"Boşa koysan dolmaz,
doluya koysan almaz";İçinden çıkılamayan güç bir durum karşısında kalındığında söylenen bir söz.;1;genel;;Züğürt tesellisi;"Tekkeyi bekleyen çorbayı
içer";"Haddini bilmeyene
bildirirler"
147;"Bu ne perhiz bu ne lahana
turşusu!";Sözleri ve davranışları birbirini tutmuyor, çelişiyor.     20;1;genel;;Ömür çürütmek;"Akıllı köprü arayıncaya dek
deli suyu geçer";Dün öleni dün gömerler
148;"Buğdayım var deme ambara
girmeyince, oğlum var deme
yoksulluğa ermeyince";"Bir şeyin senin olduğundan kuşkun kalmaması için gereken bütün koşullar gerçekleşmelidir"" anlamında kullanılan bir söz.";1;genel;;"Sarımsak yemedim ki ağzım
koksun";"Altın eşik gümüş eşiğe muhtaç
olur";Parmağında oynatmak
149;"Burnunu sıksan canı
çıkacak";Çok zayıf ve güçsüz kimseler için kullanılan bir söz.;1;genel;;"Bir mıh(çivi) bir nal
kurtarır,bir nal bir at kurtarır";Yabancılık çekmek;"Fakirlik ayıp değil,
tembellik ayıp"
150;"Bülbülü altın kafese
koymuşlar, ah vatanım demiş";Kişi, başka yerlerde ne kadar rahat ve mutlu olursa olsun yine de kendi yurdunu özler.;1;genel;;Al elmaya taş atan çok olur;Ayakları geri geri gitmek;İçi açılmak
151;"Büyük başın derdi büyük
olur";Büyük işlerin başında bulunanların karşılaşacağı güçlükler de çoktur.;1;genel;;Not tutmak;Can boğazdan gelir;Saman altından su yürütmek
152;"Büyük lokma ye büyük söz
söyleme";Başaramayacağın, sonuçlandıramayacağın bir konuda kesin sözler söyleme.;1;genel;;Söz vermek;Bıyık altından gülmek;"Çalma elin kapısını, çalarlar
kapını"
153;Can boğazdan gelir;İnsan yiyeceğine önem vererek güçlenebilir veya yemeden yaşamak mümkün değildir.;1;genel;;Zahmetsiz rahmet olmaz;Rahat yüzü görmemek;Paçaları sıvamak
154;Can canın yoldaşıdır;İnsan tek başına yaşayamaz, konuşup görüşmek için arkadaş arar.;1;genel;;"Dağ ne kadar yüce olsa yol
üstünden aşar";Boyunun ölçüsünü almak;"İki testi tokuşunca biri
elbet kırılır"
155;"Can çıkmayınca huy
çıkmaz";İnsanı alışkanlıklarından, huylarından vazgeçirmek mümkün değildir.     21;1;genel;;Ölümle öç alınmaz;"Tilki tilkiliğini anlatıncaya
kadar post elden gider";"Al malın iyisini, çekme
kaygısını"
156;Cana gelecek mala gelsin;Canı korumak için mal feda edilir.;1;genel;;Turnayı gözünden vurmak;"Destursuz bağa gireni
sopa ile kovarlar";Her kuşun eti yenmez
157;Canımı sokakta bulmadım;Tehlikeye veya herhangi bir sıkıntıya katlanmaya niyetim yok.;1;genel;;Sallantıda kalmak;"Bir adama kırk gün ne dersen
o olur";"Atasını tanımayan Allah'ını
tanımaz"
158;"Cefayı çekmeyen sefanın
kadrini bilmez";Sıkıntı çekmemiş olanlar, eriştikleri rahatlığın ve mutluluğun değerini bilemezler.;1;genel;;Sünger çekmek;"Boş gezmekten bedava
çalışmak yeğdir";"Emek olmadan yemek
olmaz"
159;"Cins kedi ölüsünü
göstermez";Onurlu kişi kötü durumlarını çok gerekmedikçe kimseye göstermez ve söylemez.;1;genel;;Çok bilen çok yanılır;Kelleyi vermek;"Sen giderken ben
geliyordum"
160;"Cömert derler maldan
ederler, yiğit derler candan
ederler";Başkalarının pohpohlamalarına kananlar mallarından ve canlarından olurlar.;1;genel;;Kabir azabı çekmek;Punduna getirmek;"Astar bol olmayınca yüze
gülmez"
161;"Çağrılan yere erinme,
çağrılmayan yere görünme";Kişi, çağrıldığı yere gitmeli, çağrılmadığı yere gitmemelidir.;1;genel;;İçine doğmak;Topa tutmak;"Dost ağlatır, düşman
güldürür"
162;"Çağrılmayan yere
çörekçiyle börekçi gider";Çağrılmadığın yere sakın gitme!;1;genel;;Dost acı söyler;Üstüne üstüne gitmek;Kalaylı bakır küflenmez
163;"Çalma elin kapısını, çalarlar
kapını";Kimseye kötülük yapma yoksa onlar da sana aynı kötülüğü yaparlar.;1;genel;;Ezbere iş görmek;Zil takıp oynamak;Pot kırmak
164;"Çam ağacından ağıl olmaz,
el çocuğundan oğul olmaz";"Her şeyin bir değeri vardır; yapacağı iş, kullanılacağı yer ayrıdır.     22";1;genel;;Aklına geleni yapmak;"At, adımına göre değil
adamına göre yürür";Çamura bulaşmak
165;"Çanağa ne doğrarsan
kaşığında o çıkar";Kişi, kendisi için önceden yaptığı hazırlıkların verimini ileride alır.;1;genel;;Türkü yakmak;Tadında bırakmak;Turşuya dönmek
166;"Çay geçerken at
değiştirilmez";Bir yöntemden başka bir yönteme geçiş tehlikeli bir durum veya zamanda yapılmamalıdır.;1;genel;;"Sen giderken ben
geliyordum";Meydanı boş bulmak;Yılanın kuyruğuna basmak
167;Çıkmadık canda umut var;Elden gitti sandığımız bir şeyle ilgimiz büsbütün kesilmemişse gereken çabayı harcayarak onun elimizde kalmasını sağlayabileceğimizi umabiliriz.;1;genel;;Tıka basa yemek;"Almadan vermek Allah'a
mahsustur";Saçını süpürge etmek
168;Çıngıraklı deve kaybolmaz;Kalıcı eser bırakan kimseler hiçbir zaman unutulmaz.;1;genel;;"Alçak yerde yatma sel alır,
yüksek yerde yatma yel alır";Buluttan nem kapmak;"Kedinin kanadı olsaydı
serçenin adı kalmazdı"
169;Çivi çıkar ama yeri kalır;Gönül yarası kapansa da unutulmaz.;1;genel;;"Karıncadan ibret al,
yazdan kışı karşılar";Dünya başına yıkılmak;Tarihe karışmak
170;Çivi çiviyi söker;Güçlü bir şey, kendisi güçlü olan başka bir şeyle veya durumla etkisiz bırakılır.;1;genel;;Nabzını yoklamak;"Ecel geldi cihana, baş ağrısı
bahane";"Karda gezip izini belli
etmemek"
171;"Çobanın gönlü olursa
tekeden süt çıkarır";Kişi istediğinde olmayacak gibi görünen işlere çözüm yolu bulur;1;genel;;"Pilavdan dönenin kaşığı
kırılsın";Benzine kan gelmek;Dut yemiş bülbüle dönmek
172;"Çobansız koyunu kurt
kapar";Yöneticisi, koruyucusu olmayan kişiyi ve topluluğu düşman ezer.     23;1;genel;;Ağır otur ki bey desinler;"Karıncanın zevali gelince
kanatlanır";İşi aksi gitmek
173;"Çocuğu iş buyuran,
ardınca kendi gider";Çocuk kendisine ısmarlanan işi yapamayacağından işi buyuran kimsenin onun arkasından gitmesi gerekir.;1;genel;;İç çekmek;Mart ayı dert ayı;Kelleyi koltuğuna almak
174;"Çocuğun bulunduğu yerde
dedikodu olmaz";Küçük çocuğun bulunduğu yerde herkes çocukla uğraşmaktan dedikodu yapmaya fırsat bulamaz.;1;genel;;Göbeği çatlamak;Lokmasını saymak;"Sarımsak yemedim ki ağzım
koksun"
175;Çocuk düşe kalka büyür;Çocuk yürümeye başladığı sırada sık sık düşer, anne baba bu duruma üzülmemelidir.;1;genel;;İçi açılmak;Yüzünü kara çıkarmak;"Karıncanın zevali gelince
kanatlanır"
176;Çoğu gitti, azı kaldı;Yapılmakta olan işin en önemli, en güç bölümü bitti, az ve önemsiz bölümü kaldı.;1;genel;;Ağır otur ki bey desinler;"Irak yerin haberini kervan
getirir";İçi erimek
177;Çoğu zarar, azı karar;Hiçbir zaman aşırıya kaçılmamalıdır.;1;genel;;Hevesi kalmamak;"Ne dağda bağım var ne
çakaldan davam";"Anlayana sivrisinek saz,
anlamayana davul zurna az"
178;Çok bilen çok yanılır;Çok bildiği için kendine güvenen kişi, bilmediği şeylere de karışır ve bunlarda yanılır.;1;genel;;Turşusunu kurmak;"Gökten zembille mi indi?
Neden başkalarına tanınmayan
haklar ona tanınıyor.
92-Göklere çıkarmak";Acele ile menzil alınmaz
179;"Çok gezen tavuk ayağında
pislik getirir";Gezip dolaştığı yerlerde kötü şeyler de bulunan kimse, kötü alışkanlıklar ve zararlı bilgiler elde ederek yerine döner.;1;genel;;Şifayı bulmak;İki aslan bir posta sığmaz;"Hak deyince akan sular
durur"
180;"Çok havlayan köpek
ısırmaz";Karşısındakini bağırıp çağırmakla korkutmaya çalışan kimse eylemli bir saldırıda bulunmaz.     24;1;genel;;"Herkes aklını pazara
çıkarmış, yine kendi aklını
almış";Armut dalının dibine düşer;Aklından çıkarmamak
181;Çok naz âşık usandırır;Başka şeylerde olduğu gibi nazlanmada da aşırı gidilmemelidir.;1;genel;;Dünyalara değişmemek;Çürük tahtaya basmak;Yüreğine ateş düşmek
182;"Çok söyleme arsız
edersin, aç bırakma hırsız
edersin";Bir kişiye bir uyarıyı sürekli olarak yapmak ve bir kişiyi istediğinden yoksun bırakmak daima kötü sonuç verir.;1;genel;;"Dağ ne kadar yüce olsa yol
üstünden aşar";Punduna getirmek;Yanına kâr kalmak
183;"Çok yaşayan bilmez, çok
gezen bilir";Çok gezen insan çok yaşayandan daha fazla bilgiye sahip olabilir.;1;genel;;Ucuz atlatmak;Al elmaya taş atan çok olur;"Bir dediği bir dediğini
tutmamak"
184;Çul içinde aslan yatar;Bir kimsenin değeri, kılık kıyafeti ile değil kişiliğindeki cevherle ölçülür.;1;genel;;İçine kurt düşmek;Etme bulma dünyası;"Gönül bir sırça saraydır,
kırılırsa yapılmaz"
185;"Dağ başından duman eksik
olmaz";Büyük adamların, büyük iş yapanların her zaman üzüntüleri, sıkıntıları vardır.;1;genel;;"Bir söz yola getirir,bir söz
yoldan çıkarır";Mahalleyi ayağa kaldırmak;Sineye çekmek
186;"Dağ dağ üstüne olur, ev ev
üstüne olmaz";Aynı evde oturan iki aile arasında er geç birtakım anlaşmazlıklar çıkar.;1;genel;;"Karda gezip izini belli
etmemek";İç açmak;"İnsanın alacası içinde,
hayvanın alacası dışınadır"
187;"Dağ dağa kavuşmaz, insan
insana kavuşur";Ne kadar uzak düşmüş olurlarsa olsunlar, insanlar günün birinde birbirleriyle karşılaşabilirler.;1;genel;;"Kaşıkla yedirip, sapıyla göz
çıkarmak";"Kaymağı seven mandayı
yanında taşır";Karnı zil çalmak
188;"Dağ ne kadar yüce olsa yol
üstünden aşar";Yenilmesi imkânsız gibi görünen zorlukların da üstesinden gelinir.     25;1;genel;;"Tencerede pişirip kapağında
yemek";"Kedinin usluluğu sıçan
görünceye kadar";"İğne deliğinden Hindistan’ı
seyretmek"
189;"Dam üstünde saksağan, vur
beline kazmayı";Yersiz ve saçma sözler karşısında söylenen bir söz.;1;genel;;Patırtıya pabuç bırakmamak;"İki yakası bir araya gelmemek
Geçim sıkıntısından bir türlü
kurtulamamak, borçtan
kurtulamamak.
165-İnce eleyip sık dokumak";Akla hayale gelmemek
190;"Damdan düşen, damdan
düşenin hâlini bilir";İyi bir durumdayken kötü duruma düşen kimse, başına aynı durum gelen kimsenin derdini iyi anlar.;1;genel;;"Kısmet gökten zembille
inmez";İçi erimek;Ne od var ne ocak
191;Damlaya damlaya göl olur;Azar azar olagelen şeyler birikerek önemli bir niceliğe ulaşacağı için küçümsenmemelidir.;1;genel;;Ters düşmek;Yuları ele kaptırmak;Külahları değişmek
192;"Danışan dağı aşmış,
danışmayan düz yolda şaşmış";"Bilmediği şeyi bir bilene soran, en zor işlerin bile üstesinden gelir; sormayan ise güçlükler içinde yuvarlanır gider.";1;genel;;Tereciye tere satmak;İyilik eden iyilik bulur;"Sağ elinin verdiğini sol elin
görmesin"
193;"Davetsiz gelen döşeksiz
oturur";Çağrılmadan bir yere giden kimse iyi bir ağırlanma beklememelidir.;1;genel;;Damlaya damlaya göl olur;"Denizdeki balığın pazarlığı
olmaz";Yüzüne kan gelmek
194;"Davul dengi dengine diye
çalar";Evlenecek kimselerin birbirlerine denk olması gerekir.;1;genel;;"Katranı kaynatsan olur mu
şeker?
Kişi, kendi özünü veya asıl
özelliklerini değiştirmiş gibi görünse
de asla değişmez.
343-Kavgada kılıç ödün vermez";Laf altında kalmamak;"Dost ağlatır, düşman
güldürür"
195;"Davulun sesi uzaktan hoş
gelir";İşin içinde olmayanlar o işi kolay veya kârlı sanırlar.;1;genel;;Yan gözle bakmak;Tepesinin tası atmak;Kaş göz işareti yapmak
196;"Değirmenin suyu nereden
geliyor?
Bu işin masrafını karşılayacak para
nasıl kazanılıyor.
197-Delik büyük, yama küçük";Eldeki imkânlar gerekenden çok az.     26;1;genel;;"Kısmet gökten zembille
inmez";"Bir kulağından girip öbür
kulağından çıkmak";"Arayan Mevla’sını da bulur,
belasını da"
198;"Demir nemden, insan
gamdan çürür";Nem demiri nasıl paslandırıp çürütürse gam da insanı öylece yıpratır.;1;genel;;Kalaylı bakır küflenmez;Yüz verince astar istemek;"Zurnada peşrev olmaz, ne
çıkarsa bahtına"
199;"Demir tavında dövülür
Her iş zamanında ve uygun
durumda yapılır.
200-Deniz kenarında dalga eksik
olmaz";İçinde çeşitli olayların geçmesi doğal olan bir ortamda zaman zaman sert çatışmaların, fırtınaların çıkması da olasıdır.;1;genel;;Çorbada tuzu bulunmak;Kabak tadı vermek;"Karga kekliği taklit edeyim
derken kendi yürüyüşünü
şaşırmış"
